,"Type",2.011,2.010,2.008,2.009,2.009,2.009,"?",,,,,,,,,,,,,
,,"IEF_2011","HDI_2010","#mobile/100c","WGI_2011va","WGI_2011npv","WGI_2011ge","TBD","GNIpc","hb","hw","hw","hw","hw","hw","hb","hw","hb","hw","hw","hb"
"BLR","BELARUS","47,91922","0,73201","83,95957","7,10900","57,07547","#NAME?",,"12.925,69774","6,73000","13,56000","0,00618","0,00000","7,50000","26,54000","21,36800","0,00000","96,07183","340,00000","11,28000","1000"
"BEL","BELGIUM","70,15104","0,86679","110,40075","94,31280","74,05660","#NAME?",,"34.872,70200","-3,98500","11,15000","0,00053","10,10000","9,99990","2,64000","14,29000","15,10000","100,00000","110,00000","3,90000","62,33539"
"BLZ","BELIZE","63,80510","0,69437","49,68395","68,72038","47,16981","#NAME?",,"5.693,05677","-19,62500","39,43000","0,68155","16,90000","0,93750","48,30000","3,36000","23,10000","62,49952","430,00000","16,87000","0,41685"
"BEN","BENIN","55,95756","0,43530","39,65557","57,34597","61,79245","#NAME?",,"1.499,11210","21,68500","54,41000","0,72837","0,00000","1,26214","58,80000","0,83800","0,00000","30,54588","200,00000","76,28000","3,95837"
"BMU","BERMUDA","#N/A","#N/A","123,05296","79,14692","72,16981","#NAME?",,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"BTN","BHUTAN","57,61903","..","36,54689","28,90995","71,22642","#NAME?",,"5.606,77742","6,51500","34,78000","0,03671","0,00000","0,44737","65,52000","0,18000","0,00000","56,68466","0,00000","53,93000","1000"
"BOL","BOLIVIA","49,97850","0,64264","49,82405","46,44550","19,81132","#NAME?",,"4.357,24070","-6,24500","71,55000","0,61814","0,00000","0,47409","34,42000","4,56000","0,00000","55,94450","260,00000","45,73000","1000"
"BIH","BOSNIA-HERZEGOVINA","57,51463","0,71038","84,25528","48,81517","25,94340","#NAME?",,"8.221,58970",,"14,31000","0,10344","0,00000",,"52,56000","6,97000","0,00000","96,33209","140,00000","12,70000","1.177,52642"
"BWA","BOTSWANA","68,75021","0,63340","77,33975","59,24171","79,71698","#NAME?",,"13.204,18524","-21,25500","78,04000","2,78521","0,00000","8,08333","40,42000","3,45000","0,00000","66,80986","240,00000","25,95000","1000"
"BRA","BRAZIL","56,34021","0,69856","78,47071","61,61137","54,24528","#NAME?",,"10.606,97445","-2,99000","32,28000","0,26125","2,00000","1,09450","14,42000","7,22800","6,10000","79,33453","220,00000","18,30000","10,09499"
"BRN","BRUNEI","#N/A","#N/A","95,84990","27,48815","95,28302","#NAME?",,"#N/A","1,88000","38,94000","0,00000","22,00000",,"25,18000","4,95000","55,30000","100,00000","0,00000","5,50000","43,78016"
"BGR","BULGARIA","64,90976","0,74321","137,73635","63,98104","62,73585","#NAME?",,"11.139,15518","-14,39000","14,31000","0,00223","0,30000","50,00000","28,90000","11,08000","0,30000","98,57676","200,00000","8,80000","99,88925"
"BFA","BURKINA FASO","60,55450","0,30506","16,75869","40,75829","39,62264","#NAME?",,"1.214,83069","1,33000","40,43000","0,40636","0,00000","6,40000","80,44000","0,44800","0,00000","27,04052","170,00000","92,09000","1000"
"BDI","BURUNDI","49,60149","0,28150","5,95205","27,96209","10,37736","#NAME?",,"401,57448","13,06000","65,89000","0,55374","0,00000","2,86282","89,60000","0,25000","0,00000","41,89113","360,00000","101,91000","1000"
"KHM","CAMBODIA","57,88532","0,49374","29,09626","23,69668","25,00000","#NAME?",,"1.867,65617","-6,52500","45,09000","1,47467","4,80000","3,38393","78,44000","0,93000","14,80000","29,42355","250,00000","69,31000","0,86273"
"CMR","CAMEROON","51,77157","0,45977","32,27561","19,43128","31,13208","#NAME?",,"2.196,88758","10,22500","33,28000","0,00031","1,20000","0,36264","43,24000","1,98000","11,30000","46,64074","160,00000","82,30000","30,31086"
"CAN","CANADA","80,77100","0,88835","66,32114","95,26066","85,37736","#NAME?",,"38.668,37087","13,62500","3,49000","0,00548","2,20000","1,61298","19,60000","13,77000","3,20000","100,00000","20,00000","5,70000","3,37911"
"CPV","CAPE VERDE","64,58292","0,53381","55,68189","71,56398","75,94340","#NAME?",,"3.305,61503","-2,22500","54,41000","0,01975","10,70000",,"40,38000","2,01400","4,00000",,"160,00000","24,19000","2,01494"
"CYM","CAYMAN ISLANDS","#N/A","#N/A",,"62,55924","91,03774","#NAME?",,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"CAF","CENTRAL AFRICAN REPUBLIC","49,26098","0,31510","3,54899","21,32701","3,30189","#NAME?",,"757,84645","11,11000","100,00000","0,03547","0,00000","0,01773","61,42000","0,39000","0,00000","31,96912","280,00000","114,60000","1000"
"TCD","CHAD","45,30431","0,29481","16,57555","9,47867","5,66038","#NAME?",,"1.066,74768","22,21500","56,74000","0,72985","0,00000","1,53333","73,32000","0,32000","0,00000","5,17241","290,00000","124,02000","1000"
"CHL","CHILE","77,38859","0,78279","88,05424","75,35545","69,33962","#NAME?",,"13.561,01561","-1,91500","40,60000","0,08622","3,50000","1,41968","11,56000","3,19739","2,10000","92,32265","200,00000","7,20000","8,11660"
"CHN","CHINA","51,98867","0,66338","48,40732","5,21327","29,71698","#NAME?",,"7.258,47429","9,04500","4,99000","1,68026","1,20000","22,41111","56,90000","4,07000","4,90000","70,01432","250,00000","17,77000","16,51568"
"COL","COLOMBIA","67,99458","0,68885","91,89691","42,18009","7,07547","#NAME?",,"8.588,93830","8,08000","38,60000","0,07217","1,30000","0,50710","25,50000","3,41000","1,60000","81,61984","170,00000","16,46000","12,10386"
"COM","COMOROS","43,78328","0,42761","15,29403","45,97156","15,56604","#NAME?",,"1.176,07184","-2,88000","33,36000","0,18941","4,70000","0,83333","71,92000","0,91000","2,90000",,"340,00000","75,49000","3,01960"
"COG","CONGO","#N/A","0,48892","49,98407","18,95735","30,66038","#NAME?",,"3.257,64313","1,85500","100,00000","0,04547","0,50000","0,02072","38,66000","1,03000","6,20000","30,10662","250,00000","79,69000","47,01909"
"ZAR","Congo, Dem. Rep.","#N/A","0,23909","#N/A","8,53081","2,83019","#NAME?",,"291,23186","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"COK","COOK ISLANDS","#N/A","#N/A","#N/A","37,44076","93,86792","#NAME?",,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"CRI","COSTA RICA","67,33764","0,72495","41,74635","75,82938","70,28302","#NAME?",,"10.869,63117","-4,17000","39,43000","0,35840","3,30000","2,38434","36,74000","3,56000","1,20000","96,03119","150,00000","9,55000","15,14872"
"CIV","COTE D'IVOIRE","55,42589","#N/A","50,74490","14,21801","8,01887","#NAME?",,"#N/A","9,82000","23,79000","0,00049","0,00000","1,21031","51,22000","0,74800","0,00000","40,97198","190,00000","80,90000","24,18544"
