ISO3,Name,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00
AFG,Afghanistan,0.00,,-0.16,-0.17,-0.17,-0.17,-0.18,-0.18,-0.19,-0.19,-0.19,-0.19,-0.20,-0.19,-0.19,-0.19,-0.20
ALB,Albania,0.00,,-0.79,-0.79,-0.79,-0.78,-0.80,-0.80,-0.81,-0.81,-0.81,-0.81,-0.82,-0.81,-0.81,-0.82,-0.81
DZA,Algeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AND,Andorra,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AGO,Angola,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,,,-0.06,-0.06,-0.05,-0.06,-0.06,-0.06,-0.05,-0.05,-0.04,-0.03,-0.03,-0.02,-0.01,0.01,0.01
ARG,Argentina,,,-0.14,-0.14,-0.14,-0.15,-0.16,-0.13,-0.11,-0.13,-0.13,-0.12,-0.08,-0.08,-0.08,-0.07,-0.07
ARM,Armenia,,,,,,,,,,,,,,,,,
AUS,Australia,,,-0.19,-0.20,-0.21,-0.22,-0.22,-0.22,-0.20,-0.19,-0.18,-0.17,-0.17,-0.16,-0.16,-0.16,-0.15
AUT,Austria,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,,,0.05,0.05,0.04,0.03,0.03,0.03,0.00,-0.04,-0.04,-0.04,-0.02,0.00,-0.01,-0.03,-0.04
BHS,Bahamas,,,0.00,0.00,0.01,0.01,0.05,0.06,0.06,0.05,0.07,0.06,0.05,0.05,0.06,0.06,0.09
BHR,Bahrain,,,0.15,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12
BGD,Bangladesh ,,,0.07,0.06,0.05,0.05,0.07,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05
BRB,Barbados,,,-0.11,-0.09,-0.06,-0.06,-0.05,-0.05,-0.05,-0.06,-0.06,-0.07,-0.09,-0.11,-0.11,-0.09,-0.08
BLR,Belarus,,,0.02,0.01,0.01,0.01,0.00,0.00,-0.01,-0.01,-0.02,-0.01,-0.02,-0.02,-0.02,-0.01,-0.03
BEL,Belgium,,,-0.05,-0.06,-0.06,-0.06,-0.06,-0.06,-0.05,-0.04,-0.05,-0.04,-0.06,-0.07,-0.06,-0.04,-0.03
BLZ,Belize,,,0.04,0.05,0.05,0.04,0.03,0.03,0.02,0.01,-0.01,-0.04,-0.02,-0.02,-0.03,-0.03,-0.01
BEN,Benin,,,0.08,0.07,0.07,0.07,0.06,0.06,0.08,0.07,0.07,0.08,0.08,0.07,0.09,0.09,0.09
BTN,Bhutan,,,-0.05,-0.07,-0.08,-0.09,-0.10,-0.10,-0.11,-0.12,-0.11,-0.11,-0.10,-0.10,-0.10,-0.09,-0.08
BOL,"Bolivia, Plurinational State of",,,0.03,0.04,0.03,0.03,0.03,0.04,0.05,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05
BIH,Bosnia and Herzegovina,,,0.04,0.05,0.03,0.04,0.04,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0.01
BWA,Botswana,,,0.09,0.09,0.09,0.10,0.10,0.10,0.08,0.07,0.06,0.04,0.03,0.06,0.07,0.07,0.06
BRA,Brazil,,,0.03,0.03,0.02,0.02,0.01,0.00,-0.01,-0.01,-0.01,0.00,0.00,-0.01,-0.02,-0.01,-0.02
BRN,Brunei Darussalam,,,0.05,0.05,0.06,0.07,0.06,0.07,0.06,0.05,0.05,0.02,0.01,0.00,-0.01,-0.01,-0.03
BGR,Bulgaria,,,0.01,-0.04,-0.06,-0.07,-0.05,-0.07,-0.09,-0.08,-0.06,-0.04,-0.02,-0.02,-0.03,-0.03,-0.02
BFA,Burkina Faso,,,0.00,-0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.02,0.01,0.01,-0.01,0.00,0.01,0.02
BDI,Burundi,,,-0.05,-0.04,-0.04,-0.03,-0.03,-0.03,-0.02,-0.01,-0.02,-0.02,-0.03,-0.05,-0.05,-0.04,-0.03
KHM,Cambodia,,,,,,,,,,,,,,,,,
CMR,Cameroon,,,-0.05,-0.04,-0.04,-0.02,-0.01,-0.01,0.01,0.01,0.02,0.04,0.05,0.04,0.04,0.03,0.04
CAN,Canada,,,0.06,0.06,0.07,0.07,0.07,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.07,0.08,0.08
CPV,Cape Verde,,,-0.04,-0.04,-0.03,-0.05,-0.04,-0.04,-0.03,-0.02,-0.02,-0.02,0.03,0.01,0.00,0.01,0.01
CAF,Central African Republic,,,0.01,0.01,0.04,0.03,0.04,0.04,0.04,0.04,0.02,0.03,0.00,-0.02,-0.02,-0.01,-0.01
TCD,Chad,,,-0.07,-0.08,-0.07,-0.05,-0.05,-0.04,-0.05,-0.05,-0.05,-0.05,-0.03,-0.02,-0.03,-0.04,-0.04
CHL,Chile,,,0.11,0.12,0.10,0.08,0.08,0.07,0.06,0.07,0.08,0.07,0.07,0.08,0.09,0.09,0.09
CHN,China,,,0.05,0.03,0.04,0.05,0.05,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.08,0.08
COL,Colombia,,,0.02,0.03,0.03,0.04,0.04,0.03,0.03,0.02,0.01,0.02,0.02,-0.02,-0.03,-0.03,-0.02
COM,Comoros,,,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01,0.00,0.00,-0.02,-0.04,-0.07,-0.08,-0.09,-0.10,-0.08
COG,Congo,,,0.10,0.11,0.09,0.08,0.09,0.10,0.12,0.12,0.11,0.13,0.14,0.12,0.13,0.13,0.13
COD,"Congo, the Democratic Republic of the",,,-0.01,0.00,-0.01,-0.01,-0.01,-0.03,-0.04,-0.05,-0.06,-0.05,-0.07,-0.08,-0.09,-0.09,-0.10
CRI,Costa Rica,,,-0.05,-0.05,-0.05,-0.04,-0.05,-0.05,-0.05,-0.06,-0.08,-0.07,-0.05,-0.05,-0.04,-0.03,-0.02
CIV,C™te d'Ivoire,,,-0.03,-0.02,-0.03,-0.03,-0.04,-0.05,-0.04,-0.03,-0.04,-0.02,-0.03,-0.02,-0.04,-0.04,-0.02
HRV,Croatia,,,-0.16,-0.16,-0.17,-0.21,-0.19,-0.19,-0.18,-0.18,-0.16,-0.16,-0.17,-0.16,-0.14,-0.14,-0.13
CUB,Cuba,,,-0.04,-0.03,-0.06,-0.03,-0.02,0.02,0.04,0.06,0.05,0.05,0.05,0.04,0.05,0.05,0.03
CYP,Cyprus,,,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.05,0.04,0.03,0.02,0.01,0.02,0.03
